41.76676,12.38522,
41.76115,12.37791,
41.75832,12.3742,
41.75488,12.36973,
41.74433,12.35595,
41.73791,12.34759,
41.73715,12.3466,
41.7368,12.34612,
41.7358,12.34484,
41.73235,12.34036,
41.73063,12.3381,
41.72853,12.33539,
41.72598,12.33208,
41.72288,12.32805,
41.72255,12.32758,
41.72185,12.32667,
41.71931,12.3234,
41.71608,12.3192,
41.71574,12.31876,
41.71521,12.31803,
41.715,12.31761,
41.71509,12.31747,
41.71509,12.31743,
41.71505,12.31727,
41.71503,12.3172,
41.71504,12.31701,
41.71511,12.31684,
41.71551,12.31628,
41.71571,12.31594,
41.71583,12.31574,
41.71594,12.31548,
41.71608,12.31511,
41.7162,12.31469,
41.71631,12.31418,
41.71636,12.3139,
41.71648,12.313,
41.7165,12.31286,
41.71665,12.31174,
41.71685,12.31027,
41.71698,12.30962,
41.71707,12.30921,
41.71723,12.3087,
41.71769,12.30735,
41.71796,12.30655,
41.71863,12.30479,
41.71909,12.3036,
41.71939,12.30282,
41.71979,12.30189,
41.72087,12.29939,
41.72202,12.29681,
41.72352,12.29353,
41.72408,12.29223,
41.72428,12.29172,
41.72457,12.29087,
41.72503,12.28938,
41.72576,12.28713,
41.72584,12.28691,
41.7259,12.28685,
41.72622,12.28668,
41.72626,12.2867,
41.72635,12.28671,
41.72643,12.28667,
41.72648,12.2866,
41.7265,12.28657,
41.7273,12.28701,
41.7273,12.28704,
41.72733,12.28709,
41.72736,12.28713,
41.72745,12.28714,
41.72749,12.28711,
41.72839,12.28762,
41.72839,12.28764,
41.7284,12.28767,
41.72842,12.2877,
41.72847,12.28773,
41.72852,12.28771,
41.72858,12.28776,
41.72924,12.28818,
41.73001,12.28861,
41.73013,12.28867,
41.73017,12.28853,
41.73073,12.28681,
41.73092,12.28617,
